"Hersteller-Teilenummer","Hersteller","Digi-Key Teilenummer","Kundenreferenz","Referenzdesignator","Verpackung","Status der Komponente","Menge","Stückpreis","Gesamtpreis","Verfügbare Menge","Herst. Std.-Lieferzeit","Beschreibung","RoHS Status","Bleifreier Status","REACH Status"
"P160KN-0QC15B25K","TT Electronics/BI","987-1303-ND","POT1","","Tablett","Aktiv","1","0,67000","0,67 €","2562","12 Wochen","POT 25K OHM 1/5W PLASTIC LINEAR","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"UJ2-BH-1-TH","CUI Devices","102-3999-ND","J1","","Tablett","Aktiv","1","0,46000","0,46 €","3039","13 Wochen","CONN RCPT USB2.0 TYPEB 4POS R/A","RoHS-konform","Bleifrei","Nicht verfügbar"
"AS-16.000-18-SMD-TR","Raltron Electronics","2151-AS-16.000-18-SMD-TRCT-ND","Q6","","Gurtabschnitt (CT)","Aktiv","1","0,17000","0,17 €","2255","8 Wochen","XTAL 16MHZ 18PF SMD","RoHS3-konform","Bleifrei","Nicht verfügbar"
"BMP280","Bosch Sensortec","828-1064-1-ND","IC2","","Gurtabschnitt (CT)","Aktiv","1","2,77000","2,77 €","112269","14 Wochen","SENSOR PRESSURE ABS","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"1825232-1","TE Connectivity ALCOSWITCH Switches","A107673-ND","SW1","","Box","Aktiv","1","0,31000","0,31 €","18717","17 Wochen","SWITCH SLIDE SPDT 200MA 30V","RoHS-konform","Bleifrei","Nicht verfügbar"
"CR0603-FX-1002ELF","Bourns Inc.","CR0603-FX-1002ELFCT-ND","R1, R2, R3, R4","","Gurtabschnitt (CT)","Aktiv","4","0,08000","0,32 €","647151","14 Wochen","RES SMD 10K OHM 1% 1/10W 0603","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"DMG2302UK-7","Diodes Incorporated","DMG2302UK-7DICT-ND","Q1, Q2, Q3, Q4, Q5, Q7","","Gurtabschnitt (CT)","Aktiv","6","0,28000","1,68 €","564860","18 Wochen","MOSFET N-CH 20V 2.8A SOT23","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"0603N220G500CT","Walsin Technology Corporation","1292-1501-1-ND","C7, C8","","Gurtabschnitt (CT)","Aktiv","2","0,08000","0,16 €","18389","21 Wochen","CAP CER 22PF 50V C0G/NP0 0603","RoHS3-konform","Bleifrei","Nicht verfügbar"
"CL10B104KA8NNNC","Samsung Electro-Mechanics","1276-1006-1-ND","C5, C9","","Gurtabschnitt (CT)","Aktiv","2","0,08000","0,16 €","4574978","18 Wochen","CAP CER 0.1UF 25V X7R 0603","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"SCD30","Sensirion AG","1649-1098-ND","","","Tablett","Aktiv","1","45,85000","45,85 €","6801","9 Wochen","CO2 SENSOR I2C/MODBUS/PWM DIGITL","RoHS3-konform","Bleifrei","Nicht verfügbar"
"WT-1205","Soberton Inc.","433-1028-ND","SG1","","Lose im Beutel","Aktiv","1","0,49000","0,49 €","10957","10 Wochen","AUDIO MAGNETIC XDCR 4-6V TH","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"UWT1H4R7MCL1GB","Nichicon","493-2220-1-ND","C3, C4","","Gurtabschnitt (CT)","Aktiv","2","0,29000","0,58 €","34874","17 Wochen","CAP ALUM 4.7UF 20% 50V SMD","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"AZ1117EH-2.5TRG1","Diodes Incorporated","AZ1117EH-2.5TRG1DICT-ND","VR1","","Gurtabschnitt (CT)","Aktiv","1","0,36000","0,36 €","19162","19 Wochen","IC REG LINEAR 2.5V 1A SOT223","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"SML-D12U1WT86","Rohm Semiconductor","SML-D12U1WT86CT-ND","LED_R","","Gurtabschnitt (CT)","Aktiv","22","0,12500","2,75 €","74786","Nicht verfügbar","LED RED DIFFUSED 1608 SMD","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"SML-D12Y1WT86","Rohm Semiconductor","SML-D12Y1WT86CT-ND","LED_Y","","Gurtabschnitt (CT)","Aktiv","22","0,12500","2,75 €","24952","Nicht verfügbar","LED YELLOW DIFFUSED 1608 SMD","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"SML-D12M8WT86","Rohm Semiconductor","511-1578-1-ND","LED_G","","Gurtabschnitt (CT)","Aktiv","22","0,19400","4,26 €","102863","10 Wochen","LED GREEN DIFFUSED 0603 SMD","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"ATMEGA328PB-AUR","Microchip Technology","ATMEGA328PB-AURCT-ND","IC1","","Gurtabschnitt (CT)","Aktiv","1","1,21000","1,21 €","16853","12 Wochen","IC MCU 8BIT 32KB FLASH 32TQFP","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"SD1206S020S1R0","AVX Corporation","478-7803-1-ND","D1","","Gurtabschnitt (CT)","Aktiv","1","0,33000","0,33 €","1580","16 Wochen","DIODE SCHOTTKY 20V 1A 1206","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"0ZCJ0100FF2E","Bel Fuse Inc.","507-1806-1-ND","R6","","Gurtabschnitt (CT)","Aktiv","1","0,16000","0,16 €","4193","14 Wochen","PTC RESET FUSE 6V 1A 1206","RoHS3-konform","Bleifrei","Von REACH nicht betroffen"
"RK73B1JTTD271J","KOA Speer Electronics, Inc.","2019-RK73B1JTTD271JDKR-ND","R_LED","","Digi-Reel","Aktiv","66","0,09530","6,29 €","150560","6 Wochen","RES 270 OHM 5% 1/8W 0603","RoHS3-konform","Bleifrei","Nicht verfügbar"